"Toss_Winner","Match_Winner","Count"
"1","1",38
"2","1",4
"3","1",4
"4","1",6
"5","1",3
"6","1",3
"7","1",2
"8","1",3
"9","1",0
"10","1",0
"11","1",4
"12","1",1
"13","1",0
"1","2",1
"2","2",33
"3","2",4
"4","2",6
"5","2",2
"6","2",5
"7","2",5
"8","2",3
"9","2",2
"10","2",4
"11","2",3
"12","2",1
"13","2",1
"1","3",6
"2","3",3
"3","3",42
"4","3",3
"5","3",8
"6","3",4
"7","3",5
"8","3",2
"9","3",0
"10","3",3
"11","3",3
"12","3",0
"13","3",0
"1","4",5
"2","4",4
"3","4",4
"4","4",26
"5","4",3
"6","4",6
"7","4",8
"8","4",3
"9","4",0
"10","4",1
"11","4",1
"12","4",1
"13","4",1
"1","5",4
"2","5",2
"3","5",2
"4","5",6
"5","5",34
"6","5",6
"7","5",2
"8","5",3
"9","5",0
"10","5",2
"11","5",2
"12","5",0
"13","5",0
"1","6",4
"2","6",3
"3","6",3
"4","6",3
"5","6",2
"6","6",28
"7","6",6
"8","6",5
"9","6",0
"10","6",2
"11","6",0
"12","6",0
"13","6",0
"1","7",4
"2","7",3
"3","7",4
"4","7",5
"5","7",6
"6","7",7
"7","7",41
"8","7",4
"9","7",0
"10","7",3
"11","7",3
"12","7",0
"13","7",0
"1","8",1
"2","8",4
"3","8",1
"4","8",2
"5","8",1
"6","8",0
"7","8",0
"8","8",19
"9","8",1
"10","8",0
"11","8",0
"12","8",0
"13","8",0
"1","9",2
"2","9",0
"3","9",0
"4","9",0
"5","9",0
"6","9",0
"7","9",0
"8","9",0
"9","9",4
"10","9",0
"11","9",0
"12","9",0
"13","9",0
"1","10",1
"2","10",0
"3","10",1
"4","10",2
"5","10",1
"6","10",1
"7","10",1
"8","10",1
"9","10",1
"10","10",3
"11","10",0
"12","10",0
"13","10",0
"1","11",3
"2","11",3
"3","11",1
"4","11",4
"5","11",2
"6","11",2
"7","11",3
"8","11",0
"9","11",0
"10","11",2
"11","11",14
"12","11",0
"13","11",0
"1","12",0
"2","12",0
"3","12",0
"4","12",1
"5","12",0
"6","12",0
"7","12",1
"8","12",0
"9","12",0
"10","12",0
"11","12",0
"12","12",3
"13","12",0
"1","13",0
"2","13",1
"3","13",0
"4","13",0
"5","13",0
"6","13",1
"7","13",0
"8","13",0
"9","13",0
"10","13",0
"11","13",0
"12","13",1
"13","13",6
